"Data from Open Data/DOT as of Summer 2021*
Some Open Streets have been Combined in this analysis",,,,,Transportation Alternatives' Data,,,,,,ACS 2014-2018 US Census Data,,,,,,,,,,,,,,,,,,,,,,,Data from Open Data/DOT,,,,,,,,,,,,,,,,
Bronx,Grant Avenue,East 170th Street,East 169th Street,Grant Park,"1369 Grant Ave, Bronx, NY 10456",1.0,0%,0%,Non-operational,,"53,742","38,673","15,069",601,"12,329",266,"1,100",0,293,480,"16,841","2,749","1,807","2,933","1,872","2,206","2,513","1,412",904,204,241,"$30,521","$44,555",Temporary Limited Local Access,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,ALL,
Bronx,Holland Avenue,Boston Road,South Oak Drive,East Bronx,"2910 Holland Ave, Bronx, NY 10467",1.0,0%,0%,Non-operational,,"40,840","20,138","20,702","4,637","13,989",151,"1,204",0,399,322,"14,730","1,767","1,604","1,842","1,319","2,396","2,605","1,259","1,352",357,229,"$40,334","$53,000",Temporary Limited Local Access,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,ALL,
Bronx,Jackson Avenue,East 143rd Street,East 147th Street,St. Mary's Park,"440 Jackson Ave, Bronx, NY 10455",1.0,0%,0%,Non-operational,,"20,774","14,216","6,558",245,"5,762",92,35,156,118,150,"7,041","1,515","1,002","1,066",989,826,766,519,204,71,83,"$24,387","$35,659",Temporary Limited Local Access,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,ALL,
Bronx,Jennings Street,Chisholm Street,Prospect Avenue,Caldwell Enrichment Programs,"781 Jennings St, Bronx, NY 10459",7.5,50%,50%,Active,192.45,"22,973","13,576","9,397",331,"8,717",4,265,0,16,64,"7,788","1,376",936,"1,320",769,"1,028",855,639,518,204,143,"$28,550","$48,490",Temporary Full Closure,11:00 AM,7:00 PM,11:00 AM,7:00 PM,11:00 AM,7:00 PM,11:00 AM,7:00 PM,11:00 AM,7:00 PM,N/A,N/A,N/A,N/A,"M,T,W,R,F",
Bronx,McClellan St/Cromwell Ave,River Avenue,Cromwell Avenue,Concourse,"1155 Cromwell Ave, Bronx, NY 10452",1.0,0%,0%,Non-operational,,"57,613","38,085","19,528","1,440","16,087",37,"1,088",0,275,601,"19,912","3,142","2,346","3,071","2,814","2,505","2,836","1,541","1,159",263,235,"$29,092","$42,687",Temporary Limited Local Access,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,ALL,
Bronx,Nelson Avenue,Featherbed Lane,Macombs Road,Morris Heights,"1628 Nelson Ave, Bronx, NY 10453",1.0,0%,0%,Active,"1,338.04","41,964","27,380","14,584",528,"13,550",44,301,13,62,86,"14,651","2,556","2,155","2,396","1,793","1,763","1,846","1,085",757,274,26,"$26,279","$39,036",Temporary Limited Local Access,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,ALL,
Bronx,Oak Tree Place,Hughes Avenue,Quarry Road,Quarry Ballfields,"615 Oak Tree Pl, Bronx, NY 10457",1.0,0%,0%,Non-operational,,"42,405","27,993","14,412","1,826","11,553",53,264,0,161,555,"15,046","2,891","2,161","2,432","1,711","2,052","2,042",680,844,151,82,"$25,202","$38,427",Temporary Limited Local Access,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,ALL,
Bronx,Randall Avenue,Olmstead Avenue,Havemeyer Avenue,Castle Hill,"2125 Randall Ave, Bronx, NY 10473",1.0,0%,0%,Non-operational,,"25,247","16,187","9,060",775,"7,359",117,435,0,148,226,"8,677","1,089",854,929,955,872,"1,350",922,925,484,297,"$42,871","$67,484",Temporary Limited Local Access,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,ALL,
Bronx,Reservoir Oval East and West,Bainbridge Avenue,Reservoir Place,Williamsbridge Oval,"3280 Reservoir Oval W, Bronx, NY 10467",1.0,0%,0%,Non-operational,,"42,588","26,919","15,669","4,129","5,839",120,"4,529",0,146,906,"14,649","1,859","1,576","1,975","2,134","2,087","2,443","1,056","1,061",290,168,"$33,893","$47,959",Temporary Limited Local Access,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,ALL,
Bronx,Rockwood Street,Grand Concourse,Walton Avenue,Fresh Air Fund,"117 Rockwood St, Bronx, NY 10452",1.0,0%,0%,Non-operational,,"45,589","32,230","13,359",595,"11,253",90,799,0,224,398,"15,034","2,368","1,676","2,652","1,832","1,924","2,411","1,411",479,202,79,"$30,337","$41,573",Temporary Full Closure,8:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,N/A,N/A,N/A,N/A,N/A,N/A,"M,T,W,R",
Bronx,Stickball Boulevard,Seward Avenue,Randall Avenue,Fresh Air Fund,"601 Stickball Blvd, Bronx, NY 10473",7.0,67%,67%,Active,706.93,"14,865","9,694","5,171",498,"4,312",0,130,0,124,107,"5,271",453,459,542,525,611,908,629,617,342,185,"$51,213","$71,722",Temporary Full Closure,8:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,N/A,N/A,N/A,N/A,N/A,N/A,"M,T,W,R",
Bronx,Tibbett Avenue,West 238th Street,West 232nd Street,Kingsbridge,"302 W 238th St, Bronx, NY 10463",1.0,0%,0%,Non-operational,,"15,805","5,752","10,053","6,923","1,799",0,"1,080",0,52,199,"6,613",534,357,682,407,591,"1,170",729,"1,193",545,405,"$63,236","$94,999",Temporary Limited Local Access,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,ALL,
Bronx,Trinity Avenue,East 166th Street,East 161th Street,Morrisiana,"1053 Trinity Ave, Bronx, NY 10456",1.0,0%,0%,Non-operational,,"41,039","24,137","16,902",509,"15,632",133,243,0,98,287,"14,041","2,398","1,766","2,280","1,595","1,744","1,871","1,243",834,168,142,"$28,224","$45,656",Temporary Limited Local Access,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,ALL,
Bronx,West 236th Street,Hudson Manor Terrace,Independence Avenue,Riverdale Playground,"3671 Hudson Manor Terrace, Bronx, NY 10463",2.0,0%,0%,Non-operational,,"16,281","3,061","13,220","11,204","1,036",11,583,0,37,349,"6,914",226,192,395,401,427,858,"1,055","1,115",742,"1,503","$97,701","$143,582",Temporary Limited Local Access,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,ALL,
Bronx,West 238th Street,Tibbett Avenue,Irwin Avenue,Kingsbridge,"302 W 238th St, Bronx, NY 10463",1.5,0%,0%,Non-operational,,"19,932","6,923","13,009","9,093","2,219",101,"1,271",0,52,273,"7,926",639,443,773,478,677,"1,342",949,"1,477",592,556,"$66,735","$97,301",Temporary Limited Local Access,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,ALL,
Bronx,Yates Avenue,Burke Avenue,Adee Avenue,Allerton,"3047 Yates Ave, Bronx, NY 10469",1.5,0%,0%,Non-operational,,"17,631","6,046","11,585",511,"10,072",123,585,0,135,159,"5,489",425,246,594,551,942,894,482,833,246,276,"$49,783","$71,630",Temporary Limited Local Access,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,ALL,
Bronx,Willis Avenue,East 147th Street,East 148th Street,Third Avenue Business Improvement District,"483 Willis Ave #1, Bronx, NY 10455",6.5,100%,100%,Active,350.00,"32,483","22,670","9,813",418,"8,893",0,274,96,76,56,"11,530","2,654","1,466","2,122","1,393","1,556",961,563,483,144,188,"$22,070","$43,025",Temporary Full Closure,10:30 AM,8:00 PM,10:30 AM,8:00 PM,10:30 AM,8:00 PM,10:30 AM,8:00 PM,10:30 AM,8:00 PM,10:30 AM,8:00 PM,10:30 AM,8:00 PM,ALL,
Brooklyn,1st Place,Smith Street,Henry Street,Carroll Gardens,"105 1st Pl, Brooklyn, NY 11231",2.0,0%,67%,Non-operational,,"19,833","2,284","17,549","15,170",299,30,"1,120",0,42,888,"8,153",449,129,242,293,296,720,622,"1,078","1,525","2,799","$158,115","$211,249",Temporary Limited Local Access,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,ALL,
Brooklyn,21st Street,3rd Avenue,7th Avenue,Sunset Park,"184 21st St, Brooklyn, NY 11232",1.0,0%,0%,Non-operational,,"13,333","5,709","7,624","5,013",962,77,970,0,76,526,"4,525",217,154,228,276,462,734,672,942,311,529,"$82,124","$104,905",Temporary Limited Local Access,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,ALL,
Brooklyn,2nd Street,Bond Street,Dead End,The Gowanus Dredgers Canoe Club,"113 2nd St, Brooklyn, NY 11231",3.0,0%,0%,Non-operational,,"11,474","1,831","9,643","7,960",194,30,826,0,20,613,"4,798",337,69,161,270,194,426,378,719,724,"1,520","$138,897","$201,292",Temporary Limited Local Access,10:00 AM,4:00 PM,10:00 AM,4:00 PM,10:00 AM,4:00 PM,10:00 AM,4:00 PM,10:00 AM,9:00 PM,10:00 AM,9:00 PM,10:00 AM,9:00 PM,"M,T,W,R,F,S,U",
Brooklyn,Third Avenue,68th Street,Marine Avenue,Merchants of Third Avenue,"7105 3rd Ave, Brooklyn, NY 11209",8.0,0%,67%,Non-operational,,"34,049","7,441","26,608","18,746",760,151,"5,993",0,125,833,"13,194",751,547,"1,278","1,101","1,405","1,947","1,618","2,199",912,"1,436","$69,375","$95,784",Temporary Full Closure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5:30 PM,10:30 PM,N/A,N/A,N/A,N/A,F,
Brooklyn,38th Street,Dahill Road,15th Avenue,Dome Playground,"1536 38th St, Brooklyn, NY 11218",1.7,50%,50%,Active,"2,564.00","32,425","5,591","26,834","19,625",948,60,"5,436",0,49,716,"8,978",471,538,"1,283",983,"1,369","1,449",878,"1,233",400,374,"$48,546","$68,490",Temporary Limited Local Access,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,ALL,
Brooklyn,4th Place,Smith Street,Henry Street,Carroll Gardens,"68 4th Pl, Brooklyn, NY 11231",2.0,0%,0%,Non-operational,,"21,744","4,641","17,103","10,622","4,025",30,"1,224",268,134,800,"9,151","1,416",740,642,583,688,735,475,878,"1,222","1,772","$67,467","$128,934",Temporary Limited Local Access,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,ALL,
Brooklyn,4th Street,5th Avenue,4th Avenue,Park Slope 5th Avenue Business Improvement District,"327 5th Ave, Brooklyn, NY 11215",5.0,50%,75%,Active,420.06,"21,943","3,105","18,838","14,660","1,212",0,"1,782",0,130,"1,054","8,926",385,245,243,388,349,852,910,"1,594","1,328","2,632","$132,036","$175,162",Temporary Limited Local Access,10:00 AM,6:00 PM,10:00 AM,6:00 PM,10:00 AM,6:00 PM,10:00 AM,6:00 PM,10:00 AM,6:00 PM,10:00 AM,6:00 PM,N/A,N/A,"M,T,W,R,F,S",
Brooklyn,5th Avenue,45th Street,47th Street,Sunset Park Business Improvement District,"4518 5th Ave, Brooklyn, NY 11220",7.0,100%,100%,Active,742.00,"26,158","16,316","9,842","3,073",628,0,"5,719",0,128,294,"7,644",442,794,977,738,935,"1,441",698,889,362,368,"$48,498","$70,756",Temporary Full Closure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4:00 PM,11:00 PM,N/A,N/A,S,
Brooklyn,5th Avenue,Dean Street,Park Place,Park Slope 5th Avenue Business Improvement District,"52 5th Ave, Brooklyn, NY 11217",10.0,100%,100%,Active,219.51,"25,866","4,480","21,386","12,104","6,095",3,"1,944",10,126,"1,104","10,589",633,465,811,645,776,"1,036","1,056","1,805","1,067","2,295","$96,982","$148,777",Temporary Full Closure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11:00 AM,10:30 PM,11:00 AM,10:00 PM,"S,U",
Brooklyn,5th Avenue,President Street,5th Street,Park Slope 5th Avenue Business Improvement District,"256 5th Ave, Brooklyn, NY 11215",9.0,100%,100%,Active,736.00,"27,322","2,924","24,398","19,292","1,352",0,"2,273",10,170,"1,301","11,681",426,189,330,482,563,"1,093","1,390","1,930","1,643","3,635","$136,049","$186,936",Temporary Full Closure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11:00 AM,10:30 PM,11:00 AM,10:00 PM,"S,U",
Brooklyn,5th Avenue,10th Street,13th Street,Park Slope 5th Avenue Business Improvement District,"471 5th Ave, Brooklyn, NY 11215",8.0,100%,100%,Active,477.64,"27,375","5,641","21,734","16,853","1,254",39,"2,094",0,259,"1,235","11,271",492,268,436,401,684,"1,161","1,431","2,413","1,489","2,496","$114,754","$154,354",Temporary Full Closure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11:00 AM,10:30 PM,11:00 AM,10:00 PM,"S,U",
Brooklyn,5th Avenue,Sterling Place,Berkely Place,Park Slope 5th Avenue Business Improvement District,"162 5th Ave, Brooklyn, NY 11217",9.7,100%,100%,Active,965.39,"32,440","4,958","27,482","19,985","3,653",3,"2,413",10,117,"1,301","13,674",623,308,658,692,893,"1,186","1,654","2,241","1,676","3,743","$118,256","$171,246",Temporary Full Closure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11:00 AM,10:30 PM,11:00 AM,10:00 PM,"S,U",
Brooklyn,5th Avenue,39th Street,42nd Street,Sunset Park Business Improvement District,"452 5th Ave, New York, NY 10018",8.0,67%,100%,Active,"1,765.64","20,421","12,244","8,177","3,908",502,0,"3,132",0,224,411,"6,766",346,649,712,603,887,"1,236",720,939,382,292,"$53,137","$72,717",Temporary Full Closure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4:00 PM,11:00 PM,N/A,N/A,S,
Brooklyn,5th Avenue,15th Street,16th Street,Park Slope 5th Avenue Business Improvement District,"568 5th Ave, Brooklyn, NY 11215",9.5,100%,100%,Active,776.20,"22,634","5,089","17,545","13,614",882,39,"1,644",0,279,"1,087","9,214",403,189,365,240,612,"1,031","1,167","2,060","1,140","2,007","$114,606","$153,092",Temporary Full Closure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11:00 AM,10:30 PM,11:00 AM,10:00 PM,"S,U",
Brooklyn,61st Street,7th Avenue,8th Avenue,99 Favor Taste,"702 61st St, Brooklyn, NY 11220",1.0,0%,0%,Non-operational,,"22,190","5,319","16,871","2,104",148,69,"14,275",0,68,207,"6,094",485,245,740,712,877,"1,208",632,712,252,231,"$49,758","$65,936",Temporary Full Closure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5:00 PM,11:00 PM,5:00 PM,11:00 PM,5:00 PM,11:00 PM,"F,S,U",
Brooklyn,6th Avenue,44th Street,51st Street,Sunset Park,"4802 6th Ave, Brooklyn, NY 11220",1.0,0%,0%,Non-operational,,"59,260","27,192","32,068","7,333","1,199",0,"22,571",0,224,741,"17,535","1,072","1,510","2,423","1,686","2,342","3,407","1,840","1,791",688,776,"$47,776","$66,506",Temporary Limited Local Access,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,ALL,Y
Brooklyn,6th Avenue,44th Street,45th Street,Fresh Air Fund,"4421 6th Ave, Brooklyn, NY 11220",1.0,0%,0%,Non-operational,,"46,382","22,474","23,908","5,993","1,117",14,"16,016",0,224,544,"14,138",821,"1,341","1,716","1,373","2,120","2,636","1,394","1,517",640,580,"$47,351","$66,906",Temporary Full Closure,8:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,N/A,N/A,N/A,N/A,N/A,N/A,"M,T,W,R",
Brooklyn,Arlington Place,Halsey Street,Fulton Street,Bed Stuy Gateway Business Improvement District,"11 Arlington Pl, Brooklyn, NY 11216",3.5,11%,32%,Active,"4,827.00","27,674","2,340","25,334","8,332","14,425",14,"1,604",10,264,685,"12,029","1,073",616,726,"1,158","1,161","1,681","1,724","1,837",965,"1,088","$68,547","$93,871",Temporary Limited Local Access,10:00 AM,2:00 PM,10:00 AM,2:00 PM,10:00 AM,2:00 PM,10:00 AM,2:00 PM,10:00 AM,2:00 PM,10:00 AM,2:00 PM,10:00 AM,2:00 PM,ALL,
Brooklyn,Berry Street,North 12th Street,Broadway,North Brooklyn Open Streets Community Coalition,"75 Berry St, Brooklyn, NY 11249",7.6,0%,0%,Non-operational,,"37,245","9,817","27,428","22,060","1,137",35,"3,023",14,93,"1,066","17,867","1,151",612,838,972,"1,434","1,652","2,093","3,167","2,023","3,925","$102,496","$141,050",Temporary Limited Local Access,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,ALL,
Brooklyn,Blake Avenue,Rockaway Avenue,Powell Street,Brownsville,"307 Blake Ave, Brooklyn, NY 11212",1.0,0%,0%,Non-operational,,"33,414","9,311","24,103",239,"22,991",86,520,30,29,208,"12,832","4,338","1,756","1,696","1,154","1,408","1,130",515,626,68,141,"$16,594","$35,900",Temporary Limited Local Access,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,ALL,
